full_text,tweet_url,label
`kondoms brp score kamu? btw playing with dice tuh maksudnya judi apa gmn si. hamba tida pernah dengar main dadu haram https://t.co/NMUJY3asKV,https://x.com/tubirfess/status/1090595535570915328,Negatif
My queen judi adalah fetish nya https://t.co/8UE2BG0T1T,https://x.com/Fiksinesia_/status/1090663685805113344,Negatif
Gue berasa lg pasang judi anjir. Ga tau nnti datengnya kyk gmn wkwk https://t.co/2F2G80agVY,https://x.com/grasjelly/status/1090507210407301125,Negatif
yuk gabung bersama kami Situs Judi Kartu Online Terbaik WWW.MERAH408 .COM Dengan mini depo &amp; wd hanya 20 ribu saja dapatkan lagi bonus mingguan 0.5% dan bonus referral 15% dari kami jadi buruan gabung di sini dan jangan ampe ketinggalan sama yang lain loh.. https://t.co/GcBBcofhwo,https://x.com/naga888_/status/1090236897417355264,Positif
More SITUS JUDI POKERBINTANG * BONUS DEPOSIT 10 % newmember * BONUS ROLLINGAN 0 5 % * BONUS REFERALL 10 % * FREE REGISTER AGEN JUDI POKER BINTANG #agendomino #agendominoonline #agendominondonesia #agendominoterpercaya #agendominoterbesar #agendominoterbaik #bandardomino https://t.co/dQCov6h9MW,https://x.com/JudiAgent/status/1090682585041186816,Positif
Menemukan konten pornografi narkoba penghasutan penipuan ujaran kebencian phishing/malware berita hoax judi online terorisme radikalisme prostitusi online kekerasan pelanggaran HAKI laporkan via nomor WhatsApp atau email berikut: https://t.co/wSDEVHLwba,https://x.com/TMCPoldaMetro/status/1090611486257336320,Negatif
Daftar Agen Poker 99 Via Android 2019 | WARUNGPOKER99 Daftar Agen Poker 99 Via Android 2019 - Dahulu bermain judi buat kelompok bettor Indonesia jelas perihal yang cukup susah. Akan tetapi saat ini sejak terdapat https://t.co/idpPTqBGPT https://t.co/xebjc1LTPi,https://x.com/idnplay_poker/status/1089663224650166272,Positif
Situs Poker Uang Asli Deposit Terendah 2019 | WARUNGPOKER99 Situs Poker Uang Asli Deposit Terendah 2019 - Bermain judi tentu saja satu perihal yang lumayan menarik karena terdapat permainan yang memberi satu penghasilan https://t.co/pSGMKkHqmp https://t.co/a7vSmEKWzy,https://x.com/idnplay_poker/status/1090385811453800449,Positif
Sekolah Darurat #Palu https://t.co/bLHzSqUOru,https://x.com/esonesia/status/1090232114975395840,Negatif
orang kaya kalo main judi taruhannya aneh-aneh,https://x.com/gamaladnando/status/1090683879734730753,Negatif
Kajeung judi tadi ngasupkeun caceres ublag teh,https://x.com/Rangga_Lawez/status/1090729322128695296,Negatif
Maryani si yang cintanya dari 100-0. Kata judi.,https://x.com/yanimbrung/status/1090453247595167744,Negatif
bentar gue mau niat dlu biar menang judi ga bauk kek lu pada,https://x.com/vaneshaqiwa/status/1090235819346915329,Positif
Gue dukung tadi pake duit judi,https://x.com/selcouthser/status/1090283768101855232,Negatif
Lu suka ngerokok ? | Ngga | Minum2? | Ngga | Kalo judi? | Nggak juga | Jd lu sukanya apa dong Jon? | Ngebohongin #cc mugenroofi kh16mb,https://x.com/roofiriyuzaki/status/1089984870875652104,Negatif
Ust Dr Muhammad Arifin Badri berkata Di dalamnya ada ghoror (ketidakjelasan) dan maisir (judi). https://t.co/TbYYAHFwyw,https://x.com/fathanjihad/status/1090164720403996672,Negatif
Hari ni baru terperasan tangan kanan yg xde luka mcm ikan goreng kunyit tu dah muncul lebamÂ² mcm kena pukul dek suami mabuk kalah judi. (Ish.nauzubillah),https://x.com/_Ayu_ismail/status/1090254933838843907,Negatif
Caj parking motor rm1 dompet nipis penuh dgn duit besar. Minta tukar dgn orang takde yg sudi pula mungkin takut kena scam. Bila bayar kat mesin dapat balance duit syiling 50sen segenggam. Serupa menang mesin judi kahkahkah,https://x.com/abdlmalek_/status/1090582256203161602,Negatif
kak coba ramal sy bakal menang judi ga kali ini @peramaljudi,https://x.com/vaneshaqiwa/status/1090236700633100288,Positif
judi bangsat modal 500k,https://x.com/bpjsatria/status/1090585384973524993,Negatif
nuwun Gusti ga sido judi wektu ,https://x.com/oragondrong/status/1090517210617901056,Negatif
macam ni rupanya dyorang main judi,https://x.com/hafizzli_/status/1090368033753681920,Positif
sekedar mengingatkan mas sebenernya judi itu haram lho...,https://x.com/allamawe/status/1090486791663058944,Negatif
2beer! Pandangan kalian ttg seorang ayah yang tidak menafkahi keluarga tukang judi dan pekerjaan tidak jelas ? Lalu apa prinsip dan cara kalian agar terhindar dari jodoh yg seperti ini?,https://x.com/tubirfess/status/1090269630164160512,Negatif
Gw bingung sama temen gw. Katanya pengin nikah umur juga udah dewasa tapi sekali dapet gajian langsung di habisin buat beli minum buat judi kalau dia udah nggak punya duit baru dia ngeluh (sambat) baru nyesel. Tapi percumah anjeeng ngeluh doang tapi di ulangin terus,https://x.com/choconays/status/1090691007920783360,Negatif
bala bgt anjir judi malem ini,https://x.com/bpjsatria/status/1090589780327292928,Negatif
Random nya laki gue : nonton the girl in the spider web lanjut dewa judi-film china tahun 1994 lanjut film Hritik Roshan. Pantesan dia ngawinin gue.,https://x.com/yunikofebby/status/1090255071357460484,Negatif
bursa taruhan oscar di lingkungan kampus sudah dibuka. Oscar mah penting bagi kite ya bisa buat bisnis judi.,https://x.com/SemestAkungUti/status/1090468273571848192,Negatif
https://t.co/euTUlGpIh5 Hadirkan CASHBACK 0 3% Referral 20% Agen Judi Poker + Domino 99 Terpercaya. SUDAH TERBUKTI klik https://t.co/MMHFPFRKUO,https://x.com/Juddico/status/1090747150605008897,Positif
Nonton the gambler gue yg jadi degdegan bgt liat tuh orang taruhan buat bayar utang -_- lagian itu maen judi udah kaya maen bekel apa ya gampang bgt enak bgt -_-,https://x.com/aidazulfaa/status/1090416286104862720,Negatif
Suda mabuk minuman Ditambah mabuk judi,https://x.com/dhaniapuput/status/1090597816257339393,Negatif
Asli memang judi bat pertanyaan gitu,https://x.com/RaymondBarus/status/1090265611488288773,Negatif
