No,Text,URL,Label
1,"<div style=""white-space: pre-wrap;"">Perkara Nasi Padang. https://t.co/Nn8CCCoKy0</div>",https://x.com/handokotjung/status/1086129991023177728,Negatif
2,"<div style=""white-space: pre-wrap;"">SI ANJENG NUDUH SEMBARANGAN YAK @ustadchen NYOH MAKAN TUH NASI PADANG https://t.co/P96niilxos</div>",https://x.com/adimpil/status/1090552589136015360,Negatif
3,"<div style=""white-space: pre-wrap;"">Gajian = nasi padang https://t.co/kqOnucCFW4</div>",https://x.com/phoesphoes/status/1090474881777467393,Negatif
4,"<div style=""white-space: pre-wrap;"">tolong dihargai baju itu bisa beli nasi padang kok dirobek https://t.co/r7uPkSTlUE</div>",https://x.com/pinkorscat/status/1089470258711191552,Negatif
5,"<div style=""white-space: pre-wrap;"">Sedang ingin-inginnya nasi padang yg varian lauknya di jejerin di meja https://t.co/jmEcQuLyMi</div>",https://x.com/cukeh_/status/1090450348232237056,Positif
6,"<div style=""white-space: pre-wrap;"">Nasi padang pake rendang daging Selamat makan siang gaes https://t.co/ng5JmVtiN9</div>",https://x.com/kittykyusahi/status/1090540525843709952,Positif
7,"<div style=""white-space: pre-wrap;"">Pengen ngajak ngobrol baik-baik mereka yang kalo makan nasi padang pakai sendok. Ngobrol aja kok.</div>",https://x.com/farisandani/status/1090608138095550465,Negatif
8,"<div style=""white-space: pre-wrap;"">Yang ada di pikiranku sekarang hanyalah nasi padang soto daging dan nasi krengsengan https://t.co/exRlWl2pDp</div>",https://x.com/akunan0nim/status/1090226569715433472,Negatif
9,"<div style=""white-space: pre-wrap;"">[] nasi padang jadi ingat bang acid. Halah bucin banget aku sama kamu bang acid https://t.co/CqINvNxbb9</div>",https://x.com/jaeminjalendra/status/1090454677915721728,Negatif
10,"<div style=""white-space: pre-wrap;"">Nella Kharisma - Goyang Nasi Padang: Audio Player Title NELLA KHARISMA - Goyang Nasi Padang ( Official Music Video ) Source Pelita Utama Duration 03:25 Lyrics / Lirik : Jangan bersedih janganlah merana Hanya gara gara diputuskan cinta Bila memang tak ada https://t.co/w4ox0Bf8HE https://t.co/7HrZI5LczY</div>",https://x.com/HerlanLesmana/status/1090342600828018688,Negatif
11,"<div style=""white-space: pre-wrap;"">Di gadai : Anjing tetangga Nama : Zicolong Jembatan Nickname : zi-cotong. Merk : gaada merk Spek : Udah tua suka Linglung Spesialis bikin kamu ketawa Kalo dipanggil oppa ganyaut soalnya budeg. Sukanya nasi padang pecel tulang2an juga boleh Minat? DM guis! https://t.co/BTMXRcPSUB</div>",https://x.com/pcrkjuhyun/status/1090659346067779584,Negatif
12,"<div style=""white-space: pre-wrap;"">Selvi Kitty Hamil Besar Suami Ngidam Nasi Padang Subuh-Subuh https://t.co/LqK8DcZGBB https://t.co/TmamgzDBbR</div>",https://x.com/KapanLagicom/status/1090731387060027392,Negatif
13,"<div style=""white-space: pre-wrap;"">Aku kalau makan nasi padang: pakai tangan+tetep minta dibungkus walaupun makan di tempat. Menurutku rasanya beda kalau dibungkus sama ditaruh di piring. </div>",https://x.com/theughtea/status/1090609244703879169,Negatif
14,"<div style=""white-space: pre-wrap;"">sini sini sy traktir nasi padang #FestivalPulauPenyengatKepri</div>",https://x.com/mommy_ina/status/1090503671584976896,Negatif
15,"<div style=""white-space: pre-wrap;"">Cara menikmati Nasi Padang</div>",https://x.com/arfndtn/status/1090535655254310913,Negatif
16,"<div style=""white-space: pre-wrap;"">Jsjdjdj nasi padang pake garpu sendok dan gapake bungkusan tapi pake nya piring... IM TRIGGERED</div>",https://x.com/forjungs/status/1090490740000444416,Negatif
17,"<div style=""white-space: pre-wrap;"">Begitu mudahnya Tuhan mengubah keputusan manusia</div>",https://x.com/mohrezaeffendy/status/1090358774806700032,Negatif
18,"<div style=""white-space: pre-wrap;"">Menu wajib di sangatta. Coto Makassar Pempek Rizka Bakso Solo Kepiting Edi Blangkon Bubur Ayam Samarinda Nasi Padang. Masih 3x yg belum keturutan</div>",https://x.com/abilbile/status/1089110130187067392,Positif
19,"<div style=""white-space: pre-wrap;"">Nasi goreng ikan asin pedes or Nasi padang</div>",https://x.com/Rossari/status/1090595099237437440,Positif
20,"<div style=""white-space: pre-wrap;"">Buset ya gua makan nasi padang sebungkus masih berasa laper:(</div>",https://x.com/fleuraisey/status/1090124547595001857,Negatif
21,"<div style=""white-space: pre-wrap;"">Lucu aja inget mimpi kemaren beli nasi padang pake pegangan tangan </div>",https://x.com/ditaamaliana/status/1089923289982525440,Negatif
22,"<div style=""white-space: pre-wrap;"">bimbang sebimbang bimbangnya</div>",https://x.com/mohrezaeffendy/status/1090225715922915328,Negatif
23,"<div style=""white-space: pre-wrap;"">Selamat pagi para makluk lemah yg kalo makan nasi Padang masih pake sendok :))</div>",https://x.com/pramthedemon/status/1090439068310065152,Negatif
24,"<div style=""white-space: pre-wrap;"">Bye nasi padang.</div>",https://x.com/lukindswr/status/1090607841247776769,Negatif
25,"<div style=""white-space: pre-wrap;"">Makan tuh cinta. Gue mah makan nasi padang. Pake rendang kuahnya dibanyakin.</div>",https://x.com/user83110706633/status/1090615602849316864,Negatif
26,"<div style=""white-space: pre-wrap;"">Nasi Padang sudah jadi in flight meal maskapai swasta nasional. Kira-kira makanan berat atau kudapan khas Indonesia apalagi ya yang layak jadi in flight meal? Pecel Gudeg Konro Rica-Rica? </div>",https://x.com/indoflyer/status/1090562418177073154,Negatif
27,"<div style=""white-space: pre-wrap;"">ancen dasarane ket mbiyen ruwet yo akhire pasti ruwet ngene</div>",https://x.com/mohrezaeffendy/status/1090224026830557185,Negatif
28,"<div style=""white-space: pre-wrap;"">Nasi padang memang juara</div>",https://x.com/billyravi_/status/1090194821468217344,Negatif
29,"<div style=""white-space: pre-wrap;"">mabok ya Allah abis makan nasi padang </div>",https://x.com/okkyayu/status/1090182927625797633,Negatif
30,"<div style=""white-space: pre-wrap;"">fiuh kenyang akhirnya nyikat nasi padang langganan sekarang waktunya leyeh2 sambil dengerin album efek rumah makan ~</div>",https://x.com/istirahatsiang/status/1090617086571819008,Negatif
31,"<div style=""white-space: pre-wrap;"">skripsi itu kayak hutang semakin sering nyicil semakin cepat lunas</div>",https://x.com/mohrezaeffendy/status/1090638122730180608,Negatif
32,"<div style=""white-space: pre-wrap;"">Salah emang liat vlog makan nasi padang jadi gini kan</div>",https://x.com/chococoney/status/1090417480239988736,Negatif
33,"<div style=""white-space: pre-wrap;"">PAK PULISI TOLONG DONG DITINDAK NIH PARA PENIKMAT NASI PADANG YG PARKIR SEMBARANGAN NYUSAHIN AJE LU</div>",https://x.com/dignoo/status/1090210364849967104,Negatif
